Rank,Previous,School,Conference,Record,Road,Neutral,Home,Non Div I
1,1,Kentucky,SEC,37-11,16-5,2-1,19-5,0-0
2,2,Texas A&M,SEC,42-10,9-8,3-0,30-2,0-0
3,3,Georgia,SEC,38-12,8-9,2-0,28-3,0-0
4,4,Arkansas,SEC,42-10,6-6,3-1,33-3,0-0
5,5,North Carolina,ACC,39-11,7-7,0-2,32-2,0-0
6,6,Tennessee,SEC,43-10,9-6,2-1,32-3,0-0
7,7,Clemson,ACC,37-13,10-7,3-0,24-6,0-0
8,9,Wake Forest,ACC,36-16,10-8,1-1,25-7,0-0
9,8,Florida St.,ACC,37-13,8-10,4-0,25-3,0-0
10,10,Indiana St.,MVC,36-11,14-9,6-0,16-2,0-0
11,11,Alabama,SEC,32-19,7-10,3-1,22-8,0-0
12,12,East Carolina,AAC,37-13,13-9,1-0,23-4,0-0
13,13,Virginia,ACC,37-14,11-5,3-2,23-7,0-0
14,14,Oregon St.,Pac-12,39-12,7-9,8-1,24-2,0-0
15,18,UC Santa Barbara,Big West,36-12,13-12,1-0,22-0,0-0
16,15,Oklahoma,Big 12,32-17,12-4,2-3,18-10,0-0
17,17,Oklahoma St.,Big 12,34-16,10-10,3-1,21-5,0-0
18,16,Mississippi St.,SEC,34-18,8-9,3-1,23-8,0-0
19,19,South Carolina,SEC,33-18,9-7,2-1,22-10,0-0
20,20,NC State,ACC,29-19,7-12,0-0,22-7,0-0
21,21,DBU,CUSA,38-12,11-6,2-1,25-5,0-0
22,23,UC Irvine,Big West,39-10,18-4,3-0,18-6,0-0
23,22,Duke,ACC,34-16,11-8,2-0,21-8,0-0
24,24,Ole Miss,SEC,27-25,7-12,1-1,19-12,0-0
25,25,San Diego,WCC,37-13,18-9,1-0,18-4,0-0
26,27,Xavier,Big East,28-23,16-15,0-1,12-7,0-0
27,26,Arizona,Pac-12,32-18,13-11,1-2,18-5,0-0
28,28,Vanderbilt,SEC,34-18,3-10,4-0,27-8,0-0
29,33,Southern Miss.,Sun Belt,35-17,12-9,0-3,23-5,0-0
30,29,Florida,SEC,26-25,7-11,0-1,19-13,0-0
31,30,Nebraska,Big Ten,32-18,13-8,1-2,18-8,0-0
32,31,Northeastern,CAA,35-15,19-12,2-0,14-3,0-0
33,35,Maryland,Big Ten,34-19,19-14,1-1,14-4,0-0
34,32,Louisiana Tech,CUSA,38-15,9-10,3-0,26-5,0-0
35,34,LSU,SEC,33-20,6-11,3-0,24-9,0-0
36,37,Coastal Carolina,Sun Belt,30-21,6-12,0-0,24-9,0-0
37,36,Kansas St.,Big 12,29-21,9-14,2-1,18-6,0-0
38,38,TCU,Big 12,30-17,7-11,3-0,20-6,0-0
38,39,Louisiana,Sun Belt,38-15,14-5,0-3,24-7,0-0
40,41,West Virginia,Big 12,31-19,12-13,2-0,17-6,0-0
41,40,UCF,Big 12,31-17,10-8,0-0,21-9,0-0
42,42,UConn,Big East,29-21,12-15,1-1,16-5,0-0
43,43,UNCW,CAA,35-17,12-8,1-0,22-9,0-0
44,44,Texas,Big 12,32-20,11-5,0-3,21-12,0-0
45,45,Auburn,SEC,25-25,5-12,4-1,16-12,0-0
46,46,Oregon,Pac-12,34-16,12-7,2-1,20-8,0-0
47,47,James Madison,Sun Belt,30-20,7-14,0-0,23-6,0-0
48,49,Georgia Tech,ACC,30-19,8-9,0-1,22-9,0-0
49,48,Troy,Sun Belt,35-18,17-10,0-1,18-7,0-0
50,50,Col. of Charleston,CAA,36-12,12-3,0-0,24-9,0-0
51,52,ETSU,SoCon,32-17,8-12,0-0,24-5,0-0
52,53,Cincinnati,Big 12,30-21,10-15,3-0,17-6,0-0
53,54,Texas Tech,Big 12,30-22,6-13,2-2,22-7,0-0
54,55,Virginia Tech,ACC,32-17,10-8,0-0,22-9,0-0
55,57,UNC Greensboro,SoCon,31-18,11-10,0-0,20-8,0-0
56,51,St. John's (NY),Big East,33-14,12-10,1-0,20-4,0-0
57,58,Illinois,Big Ten,30-17,5-10,5-4,20-3,0-0
58,56,Indiana,Big Ten,28-21,11-8,2-3,15-10,0-0
59,59,Creighton,Big East,33-16,12-10,5-1,16-5,0-0
60,60,Notre Dame,ACC,27-22,11-14,0-0,16-8,0-0
61,62,Louisville,ACC,29-22,7-10,0-2,22-10,0-0
62,64,App State,Sun Belt,30-17,15-11,1-1,14-5,0-0
63,65,Kansas,Big 12,29-18,8-6,4-4,17-8,0-0
64,68,Purdue,Big Ten,32-19,9-7,8-2,15-10,1-0
65,66,Rutgers,Big Ten,27-23,15-16,0-0,12-7,0-0
66,67,California,Pac-12,31-18,10-8,2-3,19-7,0-0
67,69,Hawaii,Big West,28-15,8-5,0-0,20-10,4-0
68,63,Lamar University,Southland,39-12,10-8,5-0,24-4,0-0
69,61,Sam Houston,CUSA,30-22,10-14,0-1,20-7,0-0
70,73,South Alabama,Sun Belt,30-22,11-10,1-1,18-11,0-0
71,72,Ohio St.,Big Ten,26-23,9-14,4-1,13-8,0-0
72,70,Wofford,SoCon,33-16,11-11,0-0,22-5,0-0
73,75,Ga. Southern,Sun Belt,28-24,10-11,0-1,18-12,0-0
74,71,Utah,Pac-12,32-18,14-10,3-0,15-8,0-0
75,77,Georgetown,Big East,32-18,15-7,0-2,17-9,0-0
76,74,Murray St.,MVC,34-18,14-10,0-0,20-8,0-0
